Kuntanumero;Kunnan nimi;Kunnan nimi ruotsiksi;Maakuntanro;Maakunnan nimi
18;Askola;Askola;1;Uusimaa
49;Espoo;Esbo;1;Uusimaa
78;Hanko;Hangö;1;Uusimaa
91;Helsinki;Helsingfors;1;Uusimaa
92;Vantaa;Vanda;1;Uusimaa
106;Hyvinkää;Hyvinge;1;Uusimaa
149;Inkoo;Ingå;1;Uusimaa
186;Järvenpää;Träskända;1;Uusimaa
224;Karkkila;Högfors;1;Uusimaa
235;Kauniainen;Grankulla;1;Uusimaa
245;Kerava;Kervo;1;Uusimaa
257;Kirkkonummi;Kyrkslätt;1;Uusimaa
407;Lapinjärvi;Lappträsk;1;Uusimaa
434;Loviisa;Lovisa;1;Uusimaa
444;Lohja;Lojo;1;Uusimaa
504;Myrskylä;Mörskom;1;Uusimaa
505;Mäntsälä;Mäntsälä;1;Uusimaa
543;Nurmijärvi;Nurmijärvi;1;Uusimaa
611;Pornainen;Borgnäs;1;Uusimaa
616;Pukkila;Pukkila;1;Uusimaa
638;Porvoo;Borgå;1;Uusimaa
710;Raasepori;Raseborg;1;Uusimaa
753;Sipoo;Sibbo;1;Uusimaa
755;Siuntio;Sjundeå;1;Uusimaa
858;Tuusula;Tusby;1;Uusimaa
927;Vihti;Vichtis;1;Uusimaa
19;Aura;Aura;2;Varsinais-Suomi
202;Kaarina;S:t Karins;2;Varsinais-Suomi
284;Koski Tl;Koskis;2;Varsinais-Suomi
304;Kustavi;Gustavs;2;Varsinais-Suomi
322;Kemiönsaari;Kimitoön;2;Varsinais-Suomi
400;Laitila;Letala;2;Varsinais-Suomi
423;Lieto;Lundo;2;Varsinais-Suomi
430;Loimaa;Loimaa;2;Varsinais-Suomi
445;Parainen;Pargas;2;Varsinais-Suomi
480;Marttila;S:t Mårtens;2;Varsinais-Suomi
481;Masku;Masku;2;Varsinais-Suomi
503;Mynämäki;Virmo;2;Varsinais-Suomi
529;Naantali;Nådendal;2;Varsinais-Suomi
538;Nousiainen;Nousis;2;Varsinais-Suomi
561;Oripää;Oripää;2;Varsinais-Suomi
577;Paimio;Pemar;2;Varsinais-Suomi
631;Pyhäranta;Pyhäranta;2;Varsinais-Suomi
636;Pöytyä;Pöytyä;2;Varsinais-Suomi
680;Raisio;Reso;2;Varsinais-Suomi
704;Rusko;Rusko;2;Varsinais-Suomi
734;Salo;Salo;2;Varsinais-Suomi
738;Sauvo;Sagu;2;Varsinais-Suomi
761;Somero;Somero;2;Varsinais-Suomi
833;Taivassalo;Tövsala;2;Varsinais-Suomi
853;Turku;Åbo;2;Varsinais-Suomi
895;Uusikaupunki;Nystad;2;Varsinais-Suomi
918;Vehmaa;Vemo;2;Varsinais-Suomi
50;Eura;Eura;3;Satakunta
51;Eurajoki;Euraåminne;3;Satakunta
79;Harjavalta;Harjavalta;3;Satakunta
102;Huittinen;Vittis;3;Satakunta
181;Jämijärvi;Jämijärvi;3;Satakunta
214;Kankaanpää;Kankaanpää;3;Satakunta
230;Karvia;Karvia;3;Satakunta
271;Kokemäki;Kumo;3;Satakunta
484;Merikarvia;Sastmola;3;Satakunta
531;Nakkila;Nakkila;3;Satakunta
608;Pomarkku;Påmark;3;Satakunta
609;Pori;Björneborg;3;Satakunta
684;Rauma;Raumo;3;Satakunta
747;Siikainen;Siikais;3;Satakunta
783;Säkylä;Säkylä;3;Satakunta
886;Ulvila;Ulvsby;3;Satakunta
61;Forssa;Forssa;4;Kanta-Häme
82;Hattula;Hattula;4;Kanta-Häme
86;Hausjärvi;Hausjärvi;4;Kanta-Häme
103;Humppila;Humppila;4;Kanta-Häme
109;Hämeenlinna;Tavastehus;4;Kanta-Häme
165;Janakkala;Janakkala;4;Kanta-Häme
169;Jokioinen;Jockis;4;Kanta-Häme
433;Loppi;Loppi;4;Kanta-Häme
694;Riihimäki;Riihimäki;4;Kanta-Häme
834;Tammela;Tammela;4;Kanta-Häme
981;Ypäjä;Ypäjä;4;Kanta-Häme
20;Akaa;Akas;5;Pirkanmaa
108;Hämeenkyrö;Tavastkyro;5;Pirkanmaa
143;Ikaalinen;Ikalis;5;Pirkanmaa
177;Juupajoki;Juupajoki;5;Pirkanmaa
211;Kangasala;Kangasala;5;Pirkanmaa
250;Kihniö;Kihniö;5;Pirkanmaa
291;Kuhmoinen;Kuhmois;5;Pirkanmaa
418;Lempäälä;Lempäälä;5;Pirkanmaa
